iter	Passed	Remaining
857	970	160
858	971	159
859	972	158
860	973	157
861	973	155
862	974	154
863	975	153
864	976	152
865	977	151
866	978	150
867	979	148
868	979	147
869	980	146
870	981	145
871	982	144
872	982	142
873	983	141
874	984	140
875	985	139
876	985	138
877	986	137
878	987	135
879	987	134
880	988	133
881	989	132
882	990	131
883	990	130
884	991	128
885	993	127
886	993	126
887	994	125
888	995	124
889	996	123
890	996	121
891	997	120
892	998	119
893	999	118
894	999	117
895	1000	116
896	1001	114
897	1002	113
898	1002	112
899	1003	111
900	1004	110
901	1005	109
902	1005	108
903	1006	106
904	1008	105
905	1008	104
906	1009	103
907	1010	102
908	1011	101
909	1011	100
910	1012	98
911	1013	97
912	1013	96
913	1014	95
914	1015	94
915	1015	93
916	1016	92
917	1017	90
918	1018	89
919	1018	88
920	1019	87
921	1020	86
922	1021	85
923	1022	84
924	1023	82
925	1023	81
926	1024	80
927	1025	79
928	1026	78
929	1027	77
930	1027	76
931	1028	75
932	1029	73
933	1029	72
934	1030	71
935	1031	70
936	1032	69
937	1032	68
938	1033	67
939	1034	66
940	1034	64
941	1035	63
942	1036	62
943	1037	61
944	1038	60
945	1038	59
946	1039	58
947	1040	57
948	1040	55
949	1041	54
950	1042	53
951	1042	52
952	1043	51
953	1044	50
954	1045	49
955	1046	48
956	1046	47
957	1047	45
958	1048	44
959	1049	43
960	1049	42
961	1050	41
962	1051	40
963	1052	39
964	1053	38
965	1053	37
966	1054	35
967	1055	34
968	1055	33
969	1056	32
970	1057	31
971	1057	30
972	1058	29
973	1059	28
974	1060	27
975	1060	26
976	1061	24
977	1062	23
978	1062	22
979	1063	21
980	1064	20
981	1065	19
982	1066	18
983	1066	17
984	1067	16
985	1068	15
986	1068	14
987	1069	12
988	1070	11
989	1070	10
990	1071	9
991	1072	8
992	1073	7
993	1074	6
994	1074	5
995	1075	4
996	1076	3
997	1077	2
998	1077	1
999	1078	0
